collinear_features,model,corr_method,threshold,correlation,filteration,samples,n_features,n_informative,label
28,dt,sp,0.7,0.9371179350851025,0.2,1000,1000,10,data0
28,ada,sp,0.7,0.9819252125548089,0.2,1000,1000,10,data0
28,rf,sp,0.9,0.6147863974290838,N,1000,1000,10,data0
28,dt,sp,0.9,0.614401334019303,N,1000,1000,10,data0
28,ada,sp,0.9,0.6873274220965226,N,1000,1000,10,data0
28,rf,sp,0.9,0.6187600751087943,0.2,1000,1000,10,data0
28,dt,sp,0.9,0.6145071705489407,0.2,1000,1000,10,data0
28,ada,sp,0.9,0.6882800239646858,0.2,1000,1000,10,data0
48,rf,sp,N,0.48615654640212674,N,1000,1000,10,data0
48,dt,sp,N,0.46752565823672615,N,1000,1000,10,data0
48,ada,sp,N,0.5689221537597763,N,1000,1000,10,data0
48,rf,sp,N,0.4900215808967945,0.2,1000,1000,10,data0
48,dt,sp,N,0.46706162835621967,0.2,1000,1000,10,data0
48,ada,sp,N,0.5706673079767436,0.2,1000,1000,10,data0
48,rf,sp,0.7,0.9226492456503382,N,1000,1000,10,data0
48,dt,sp,0.7,0.9317099136697575,N,1000,1000,10,data0
48,ada,sp,0.7,0.9806980962728871,N,1000,1000,10,data0
48,rf,sp,0.7,0.928186401713989,0.2,1000,1000,10,data0
48,dt,sp,0.7,0.931862034646843,0.2,1000,1000,10,data0
48,ada,sp,0.7,0.9804076210897875,0.2,1000,1000,10,data0
48,rf,sp,0.9,0.5719518589702444,N,1000,1000,10,data0
48,dt,sp,0.9,0.568935987732442,N,1000,1000,10,data0
48,ada,sp,0.9,0.6369891658987362,N,1000,1000,10,data0
48,rf,sp,0.9,0.5752460546244512,0.2,1000,1000,10,data0
48,dt,sp,0.9,0.5689987058493724,0.2,1000,1000,10,data0
48,ada,sp,0.9,0.637437785817445,0.2,1000,1000,10,data0
67,rf,sp,N,0.43930468174282095,N,1000,1000,10,data0
67,dt,sp,N,0.402726237351421,N,1000,1000,10,data0
67,ada,sp,N,0.530817350047871,N,1000,1000,10,data0
67,rf,sp,N,0.4430322933501039,0.2,1000,1000,10,data0
67,dt,sp,N,0.40270454471932166,0.2,1000,1000,10,data0
67,ada,sp,N,0.536623246768703,0.2,1000,1000,10,data0
67,rf,sp,0.7,0.8924046738725692,N,1000,1000,10,data0
67,dt,sp,0.7,0.9009225208216062,N,1000,1000,10,data0
67,ada,sp,0.7,0.949780588697174,N,1000,1000,10,data0
67,rf,sp,0.7,0.8969343835989938,0.2,1000,1000,10,data0
67,dt,sp,0.7,0.9010518245869535,0.2,1000,1000,10,data0
67,ada,sp,0.7,0.9491686048295043,0.2,1000,1000,10,data0
67,rf,sp,0.9,0.5508316701102564,N,1000,1000,10,data0
67,dt,sp,0.9,0.548974126970662,N,1000,1000,10,data0
67,ada,sp,0.9,0.6133579824214068,N,1000,1000,10,data0
67,rf,sp,0.9,0.5539754307765554,0.2,1000,1000,10,data0
67,dt,sp,0.9,0.5490623161545769,0.2,1000,1000,10,data0
67,ada,sp,0.9,0.6142480040242632,0.2,1000,1000,10,data0
86,rf,sp,N,0.39483408327145314,N,1000,1000,10,data0
86,dt,sp,N,0.356152193736043,N,1000,1000,10,data0
86,ada,sp,N,0.4902904992599757,N,1000,1000,10,data0
86,rf,sp,N,0.39813995098826377,0.2,1000,1000,10,data0
86,dt,sp,N,0.3581136167195659,0.2,1000,1000,10,data0
86,ada,sp,N,0.49182892564743946,0.2,1000,1000,10,data0
86,rf,sp,0.7,0.8744965206170192,N,1000,1000,10,data0
86,dt,sp,0.7,0.8810449259730011,N,1000,1000,10,data0
86,ada,sp,0.7,0.9280046949075437,N,1000,1000,10,data0
86,rf,sp,0.7,0.8780731799097771,0.2,1000,1000,10,data0
86,dt,sp,0.7,0.8811580611424159,0.2,1000,1000,10,data0
86,ada,sp,0.7,0.9281757239860423,0.2,1000,1000,10,data0
86,rf,sp,0.9,0.5308425686136949,N,1000,1000,10,data0
86,dt,sp,0.9,0.5301957253084149,N,1000,1000,10,data0
86,ada,sp,0.9,0.5868605138350634,N,1000,1000,10,data0
86,rf,sp,0.9,0.533299298240553,0.2,1000,1000,10,data0
86,dt,sp,0.9,0.5304246267224458,0.2,1000,1000,10,data0
86,ada,sp,0.9,0.5882624074259197,0.2,1000,1000,10,data0
0,rf,sp,N,0.8500743405515867,N,1000,2000,20,data1
0,dt,sp,N,0.8645995487935565,N,1000,2000,20,data1
0,ada,sp,N,0.9675583502588313,N,1000,2000,20,data1
0,rf,sp,N,0.8675476628261926,0.2,1000,2000,20,data1
0,dt,sp,N,0.8675376723827976,0.2,1000,2000,20,data1
0,ada,sp,N,0.9698071433415849,0.2,1000,2000,20,data1
0,rf,sp,0.7,0.8500743405515867,N,1000,2000,20,data1
0,dt,sp,0.7,0.8645995487935565,N,1000,2000,20,data1
0,ada,sp,0.7,0.9675583502588313,N,1000,2000,20,data1
0,rf,sp,0.7,0.8675476628261926,0.2,1000,2000,20,data1
0,dt,sp,0.7,0.8675376723827976,0.2,1000,2000,20,data1
0,ada,sp,0.7,0.9698071433415849,0.2,1000,2000,20,data1
0,rf,sp,0.9,0.8500743405515867,N,1000,2000,20,data1
