,Accuracy,AUC,F1,Recall,Precision
lgbm,0.9958009880028229,0.9994207587645096,0.9951957847406951,0.9950786708249613,0.995316904049135
xgb,0.9956245589273113,0.9992879706507661,0.9949941450543213,0.9947789718945342,0.9952135156625184
et,0.9953775582215949,0.9990883071142713,0.9947160602579949,0.9942414865197498,0.9951997096620886
rf,0.9953775582215949,0.9993345580643282,0.9947126464851479,0.9941835603292656,0.995252605236011
lg,0.9951658433309808,0.9992368122435746,0.994476597648813,0.994425441818243,0.9945320994970738
gbc,0.9951658433309809,0.9993352523631996,0.9944685861535565,0.9944208992377114,0.9945216089163864
Adaboost,0.9931192660550459,0.998968308669143,0.9921403779935527,0.992736472195318,0.9915584711626961
dt,0.9907198306280875,0.989484426809987,0.9893862084564207,0.9893377674951468,0.989447111517243
