,Accuracy,AUC,F1,Recall,Precision
gbc,0.9927288280581694,0.9989854026776881,0.9927287628780166,0.9927276825177527,0.9927302064696003
rf,0.9925149700598802,0.9974976254105223,0.9925149122057194,0.992514371937548,0.9925155432618119
xgb,0.9925149700598802,0.9988647523109256,0.9925149122057194,0.992514371937548,0.9925155432618119
lgbm,0.9925149700598802,0.9988484704570336,0.9925149122057194,0.992514371937548,0.9925155432618119
lg,0.9925149700598802,0.9988451774978193,0.9925148190894524,0.9925099813252625,0.9925270109745319
et,0.9923011120615911,0.9968414118160158,0.9923010613573432,0.9923010613573432,0.9923010613573432
Adaboost,0.9923011120615911,0.9986653453362916,0.9923009416363298,0.9922955730919862,0.9923153874468806
dt,0.9918733960650128,0.9960868668005315,0.9918733232166068,0.9918722448907908,0.9918747644607386
